Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2004-09-16,0.3427592116538132,0.656541483901931,0.004894163709776091,0.7890168849613383,0.7748123985480015,0.696664,1.218305,0.14431263890091495,0.03874917657999768,0.27911520480078156,1.788435,0.0008712319219376199,0.029890898221491557,0.009136157989752884,0.08651192566895347,0.1336299919153855,0.15170938550113403,0.6574800000000001,0.5924170616113744
2004-09-17,0.34458993797381116,0.6460774698572556,0.004892248232675326,0.7887181752216297,0.7702231721641345,0.696765,1.21971,0.1446278003557844,0.03881347215618541,0.2791229955479882,1.788305,0.0008707009142359599,0.0297441998810232,0.009137994685342292,0.08685456203587093,0.13398270283306424,0.1517715534577354,0.658888,0.5919033540203555
2004-09-20,0.343819838404676,0.6443440126909997,0.0048877049781275205,0.7874077748643689,0.7726034805786799,0.698966,1.217509,0.14505787809335927,0.03869370066553165,0.2797398419469893,1.7824399999999998,0.000870852564660803,0.029726516052318668,0.00911508893592275,0.08683193678635001,0.13430480475439008,0.1533754093206236,0.65852,0.5918998505452878
2004-09-21,0.3448870494912916,0.6498802595621757,0.004966476285075739,0.7982789106685986,0.776852891252248,0.701692,1.2328000000000001,0.14640859711282248,0.03915273481852708,0.2834467120181406,1.7924639999999998,0.000871383757406762,0.029704440813901674,0.009126360854482915,0.08719612151651496,0.13618875761805863,0.1543984251360636,0.6614,0.5922416345869114
2004-09-22,0.3427592116538132,0.6490733180238573,0.004941077649035254,0.7946377842320025,0.7792804903232846,0.705362,1.226516,0.14653732305618242,0.0388651379712398,0.2813335208890139,1.789435,0.0008689607229753215,0.02983738624496494,0.009056888125695117,0.08708525646608029,0.13539403047719628,0.15319214124315422,0.66049,0.5905575749343743
2004-09-23,0.34305317324185247,0.6578947368421053,0.0049670930088165895,0.7940320550740633,0.7810577865603386,0.7115400000000001,1.2266160000000002,0.1472710671261524,0.03883645966833663,0.28205562136853385,1.792495,0.0008698677800974251,0.0297574765659872,0.009037244291172782,0.08723339294281851,0.1359517643140214,0.15506159821989285,0.6639499999999999,0.5904181045807589
2004-09-24,0.3442933379239112,0.6580527560894558,0.004948780125699014,0.7939122806321129,0.7848400299808891,0.71204,1.227517,0.14705882352941177,0.038810835985407126,0.28062298302230954,1.800305,0.0008692250858359772,0.02975304968759298,0.00903806108283202,0.08713457935781815,0.1358206623973705,0.15491626775727718,0.666164,0.5918595635627578
2004-09-27,0.3443526170798898,0.6567346496484827,0.004965613129081114,0.7941865544216337,0.7859503515162947,0.711907,1.230027,0.1469507714915503,0.03896205096236267,0.2813295635171822,1.805554,0.0008684701897607364,0.02965599051008303,0.009001005412304555,0.08701705534284719,0.13584280270870547,0.15540377786583992,0.663745,0.5910497338798573
2004-09-28,0.3450060376056581,0.6539063383795285,0.004959579427664534,0.7948809665752553,0.7858268273420586,0.71587,1.23233,0.14772576189561698,0.039045722541095625,0.2817417273585304,1.809145,0.000863595146595276,0.029590176061547565,0.00899219926713576,0.08708298137295029,0.13594437156315636,0.1552409339294585,0.667055,0.5897095680377414
2004-09-29,0.34668053388802217,0.6537473122813623,0.0049534376857539135,0.7944894213733544,0.7870080707677658,0.71477,1.233012,0.1475535619429853,0.03896812407450705,0.28096990812284006,1.795195,0.0008654636721623609,0.029612081729345572,0.009031938741778678,0.08710042679209128,0.1361016407052787,0.15452726247228166,0.6676300000000001,0.591689717911927
2004-09-30,0.34596090641757477,0.6535366790925774,0.005041720234944163,0.8034709946970915,0.7920258834058697,0.7252040000000001,1.2429180000000002,0.14900242873958844,0.03938403371273286,0.28341457884593585,1.807415,0.0008669267446900737,0.029647198339756896,0.009102601796671543,0.08740876709934006,0.13734094202152133,0.15425909357356618,0.674895,0.5941223476150443
2004-10-01,0.34867503486750345,0.6508747105234725,0.005005130258514978,0.8006405124099281,0.7929553843652988,0.724195,1.241212,0.1496826727338043,0.03931435760339676,0.2842483762311508,1.7947149999999998,0.0008692250858359772,0.02962085308056872,0.009060580855717499,0.08776703119240288,0.1375695586080712,0.15369128032521073,0.6743300000000001,0.5948928449263077
2004-10-04,0.35014005602240894,0.6496488972534793,0.0049539284652729615,0.7917342939709433,0.7858577047454018,0.719678,1.2291020000000001,0.14816790386866396,0.03896356906292617,0.28282942557343665,1.780205,0.0008684324793747286,0.029708853238265,0.009031571665069583,0.08795616264853597,0.13577455992070767,0.154000154000154,0.666637,0.5931321231460913
2004-10-05,0.3502013657853266,0.6525336576860635,0.004972279541555827,0.7933391247089436,0.7927793655386738,0.7218320000000001,1.2309020000000002,0.148864905098623,0.03913128546272745,0.2842362571769655,1.777765,0.0008692250858359772,0.029669188547693216,0.009006720815072207,0.08821998535548244,0.1361016407052787,0.1530877805333578,0.67075,0.5936655881741815
2004-10-06,0.34825004353125544,0.6527994652266781,0.0049636413272776915,0.7916277449692056,0.7937358367761626,0.72155,1.2285229999999998,0.14863258026159334,0.03909189527281256,0.2822944896115628,1.776085,0.0008662883874041669,0.0296340198547933,0.008999628315350576,0.08809563662311806,0.13604054008094413,0.1525948758640685,0.6723070000000001,0.5914499988171
