Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2000-06-19,,1.6420645200130166,0.9536814784817583,0.6085835806708775,0.6809171713038734,0.601505,0.958718,0.11570681768109554,-0.01593463592168531,0.2707036563175253,1.5123570000000002,,,-0.5710589123867069,0.19963765707336845,0.09590681807658472,0.16562259475218657,0.47364,0.5718839301183944
2000-06-20,,1.6386593760155999,1.018674714290964,0.609086615091791,0.6786484423220719,0.60288,0.95635,0.11575236282610715,-0.01775853025325845,0.27174043280182236,1.51888,,,-0.585027612010988,0.20629146619397315,0.0956767587527036,0.16588006524102936,0.47524500000000003,0.5711926088837612
2000-06-21,,1.6295699143641946,0.9786345133386639,0.6050095772114856,0.677581260604004,0.60208,0.94616,0.11443297543722657,-0.01676911575689217,0.2684317721461498,1.49945,,,-0.5660285091873462,0.20397133434804668,0.09475797543722655,0.16475867052023122,0.47505,0.5712077932864229
2000-06-22,,1.62406939169617,1.0006011379595952,0.599794155133861,0.6761923450728073,0.59709,0.9376249999999999,0.11390785748533071,-0.01745968959950003,0.2684317721461498,1.51365,,,-0.5629370278282491,0.19933109260559848,0.09294274736211167,0.1635064824846515,0.47034,0.5711062687427912
2000-06-23,,1.6202441242575052,1.0231026948157222,0.5985968532818532,0.6730574533135576,0.594985,0.93773,0.11397883258829043,-0.01802732325593475,0.26666431180662037,1.50151,,,-0.5609561939301393,0.20090160642570282,0.09228752524739628,0.16469056261343012,0.47035,0.5715839527904426
2000-06-26,,1.6200676839061998,0.9686058125698626,0.6008368226675546,0.6732593057522422,0.59711,0.93886,0.11345428656117472,-0.01681924808880511,0.265682629731311,1.49841,,,-0.6070356804845732,0.20374573243350536,0.09014206709665859,0.1648960406828914,0.47146,0.5711077932864229
2000-06-27,,1.6242566913540493,1.0236387453605997,0.6065957951070337,0.6743424839581222,0.6021,0.9478399999999999,0.11419012129519772,-0.019613383291994302,0.27029707181565643,1.5073999999999999,,,-0.5845060286717934,0.20635419771485347,0.09181845162275591,0.1668889908256881,0.47157,0.5711423437590167
2000-06-28,,1.6210755587715067,0.9886161134013163,0.6025608114674441,0.6752219264069265,0.602475,0.9434899999999999,0.11381401002361886,-0.016624518647465322,0.2688936683702442,1.5141200000000001,,,-0.5825329925210642,0.20134115994380894,0.09130668931820736,0.1673615695495628,0.468455,0.5703046243374049
2000-06-29,,1.6258581662098985,0.9151601881336702,0.6065540511707527,0.6733407594765952,0.602215,0.953925,0.11558766395638702,-0.0172991562533376,0.26912022792022794,1.519405,,,-0.6119997149914498,0.1968827238335435,0.09069033279073974,0.16707014652014654,0.46714500000000003,0.5705860613139528
2000-06-30,,1.6260083139909738,0.9171620646720621,0.6067953255017131,0.6743431099702784,0.597005,0.95454,0.11532095784015069,-0.016735553890212244,0.2729711251435132,1.5181250000000002,,,-0.617066037735849,0.19996278358399186,0.09211823135907529,0.16829262536873157,0.468745,0.5723197755149272
2000-07-03,,1.62121939169617,0.968655237955991,0.6058608681043436,0.6740700415288,0.5984799999999999,0.9522550000000001,0.11499952050898028,-0.01687876690448302,0.2752262766945218,1.514615,,,-0.5935383669221307,0.1806097775912715,0.09238512704174229,0.16784287812041115,0.466445,0.5709905772005772
2000-07-04,,1.6215084081764044,0.9736643459142543,0.6075698799608036,0.67215499192028,0.599083,0.9527899999999999,0.1168101436975376,-0.01684186393687354,0.27301387283236994,1.5161850000000001,,,-0.5790767056162834,0.17585247108307045,0.09323597249620207,0.16783393515106854,0.46554,0.5706912687427913
