Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
1991-05-31,,250.0,,0.6733099919202801,0.8736676568233444,0.7609,1.1805,0.1474056603773585,,,1.6975,0.001384083044982699,0.036778227289444645,0.007222824124232576,0.33222591362126247,0.16017940092904054,0.3536693191865605,0.5820000000000001,0.5657708628005658
1991-06-03,,238.0952380952381,,0.670510929328148,0.8738967054094205,0.7577,1.1776,0.14690759512266782,,,1.6975,0.0013794054762397406,0.036751194413818446,0.007191657677094569,0.33222591362126247,0.15970614070110997,0.35335689045936397,0.5816,0.5644933672029353
1991-06-04,,238.0952380952381,,0.670465973851827,0.8736676568233444,0.7624,1.1797,0.14712373105781962,,,1.6995,0.001377505337833184,0.0368052999631947,0.007202016564638099,0.33222591362126247,0.1597571691029635,0.353045013239188,0.5837,0.5650355972426263
1991-06-05,,238.0952380952381,,0.6691201070592172,0.8723719794120212,0.7587,1.1785,0.14678899082568808,,,1.6942,0.0013774104683195593,0.0368052999631947,0.00718081286801666,0.33222591362126247,0.15920524740495445,0.3535067873303167,0.5825,0.5637614161686774
1991-06-06,,238.0952380952381,,0.6652032195835827,0.8726003490401397,0.7514,1.1748,0.14640216675206794,,,1.6869999999999998,0.0013774104683195593,0.036818851251840944,0.007186489399928135,0.33222591362126247,0.15885623510722796,0.3523608174770965,0.5804,0.5633168093735917
1991-06-07,,238.0952380952381,,0.6586747464102226,0.8712319219376199,0.7522,1.162,0.1458895616018674,,,1.671,0.0013776951160708135,0.03681207436039021,0.007125044531528323,0.33222591362126247,0.15744312367157365,0.35170400590862727,0.579,0.5616399887672002
1991-06-10,,238.0952380952381,,0.6618133686300464,0.871383757406762,0.7531,1.1645,0.1450747134774409,,,1.6712,0.0013757996835660727,0.036778227289444645,0.007073136228603763,0.33222591362126247,0.15740594994490792,0.350938761186173,0.5769,0.5613247263541958
1991-06-11,,238.0952380952381,,0.6596741209842337,0.873743993010048,0.7557,1.1595,0.14445648248465148,,,1.6585,0.0013778849466069584,0.03678499172337686,0.00708114997875655,0.33167495854063017,0.15683814303638643,0.3507787287778869,0.5726,0.5616399887672002
1991-06-12,,232.5581395348837,,0.6534239414532148,0.8739730816290857,0.7551,1.15,0.14352350197344815,,,1.6448,0.0013802622498274672,0.036778227289444645,0.007065140596297867,0.33112582781456956,0.1552553951249806,0.34812880765883375,0.5734,0.558191459670667
1991-06-13,,232.5581395348837,,0.6498570314530804,0.8745845723281441,0.7544,1.1441,0.1424197108879869,,,1.6338,0.0013825521913452233,0.03678499172337686,0.007074637424831978,0.33112582781456956,0.154428229480349,0.3466444814198558,0.5718,0.559190292456523
